"No.","Time","Source","Destination","Protocol","Length","Info"
"42","0.010951","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=12 Win=909 Len=0"
"43","0.011172","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=11 Ack=1 Win=255 Len=1"
"44","0.011256","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=12 Win=911 Len=0"
"45","0.011398","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=12 Ack=1 Win=255 Len=1"
"46","0.011436","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=13 Win=909 Len=0"
"47","0.011645","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=12 Ack=1 Win=255 Len=1"
"48","0.011686","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=13 Win=911 Len=0"
"49","0.011875","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=13 Ack=1 Win=255 Len=1"
"50","0.011911","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=14 Win=909 Len=0"
"51","0.012139","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=13 Ack=1 Win=255 Len=1"
"52","0.012183","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=14 Win=911 Len=0"
"53","0.012318","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=14 Ack=1 Win=255 Len=1"
"54","0.012354","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=15 Win=909 Len=0"
"55","0.012601","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=14 Ack=1 Win=255 Len=1"
"56","0.012669","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=15 Win=911 Len=0"
"57","0.012809","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=15 Ack=1 Win=255 Len=1"
"58","0.012845","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=16 Win=909 Len=0"
"59","0.013093","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=15 Ack=1 Win=255 Len=1"
"60","0.013147","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=16 Win=911 Len=0"
"61","0.013312","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=16 Ack=1 Win=255 Len=1"
"62","0.013350","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=17 Win=909 Len=0"
"63","0.013638","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=16 Ack=1 Win=255 Len=1"
"64","0.013711","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=17 Win=911 Len=0"
"65","0.013827","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=17 Ack=1 Win=255 Len=1"
"66","0.013852","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=18 Win=909 Len=0"
"67","0.014294","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=17 Ack=1 Win=255 Len=1"
"68","0.014355","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=18 Win=911 Len=0"
"69","0.014542","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=18 Ack=1 Win=255 Len=1"
"70","0.014559","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=19 Win=909 Len=0"
"71","0.014910","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=18 Ack=1 Win=255 Len=1"
"72","0.014990","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=19 Win=911 Len=0"
"73","0.015091","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=19 Ack=1 Win=255 Len=1"
"74","0.015131","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=20 Win=909 Len=0"
"75","0.015334","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=19 Ack=1 Win=255 Len=1"
"76","0.015408","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=20 Win=911 Len=0"
"77","0.015528","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=20 Ack=1 Win=255 Len=1"
"78","0.015565","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=21 Win=909 Len=0"
"79","0.015802","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=20 Ack=1 Win=255 Len=1"
"80","0.015876","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=21 Win=911 Len=0"
"81","0.019692","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=21 Ack=1 Win=255 Len=1"
"82","0.019740","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=22 Win=909 Len=0"
"83","0.019888","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=21 Ack=1 Win=255 Len=1"
"84","0.019939","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=22 Win=911 Len=0"
"85","0.129257","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=22 Ack=1 Win=255 Len=1"
"86","0.129302","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=23 Win=909 Len=0"
"87","0.452012","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=23 Ack=1 Win=255 Len=1"
"88","0.452082","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=24 Win=909 Len=0"
"89","0.452395","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=22 Ack=1 Win=255 Len=1"
"90","0.452462","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=23 Win=911 Len=0"
"91","0.452514","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=23 Ack=1 Win=255 Len=1"
"92","0.452559","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=24 Win=911 Len=0"
"93","0.452987","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=24 Ack=1 Win=255 Len=1"
"94","0.453042","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=25 Win=909 Len=0"
"95","0.453426","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=24 Ack=1 Win=255 Len=1"
"96","0.453483","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=25 Win=911 Len=0"
"97","0.453707","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=25 Ack=1 Win=255 Len=1"
"98","0.453752","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=26 Win=909 Len=0"
"99","0.454019","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=25 Ack=1 Win=255 Len=1"
"100","0.454089","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=26 Win=911 Len=0"
"101","0.454521","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=26 Ack=1 Win=255 Len=1"
"102","0.454570","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=27 Win=909 Len=0"
"103","0.454684","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=26 Ack=1 Win=255 Len=1"
"104","0.454742","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=27 Win=911 Len=0"
"105","0.454960","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=27 Ack=1 Win=255 Len=1"
"106","0.454985","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=28 Win=909 Len=0"
"107","0.455269","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=27 Ack=1 Win=255 Len=1"
"108","0.455353","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=28 Win=911 Len=0"
"109","0.455491","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=28 Ack=1 Win=255 Len=1"
"110","0.455511","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=29 Win=909 Len=0"
"111","0.455834","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=28 Ack=1 Win=255 Len=1"
"112","0.455903","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=29 Win=911 Len=0"
"113","0.456155","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=29 Ack=1 Win=255 Len=1"
"114","0.456199","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=30 Win=909 Len=0"
"115","0.456486","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=29 Ack=1 Win=255 Len=1"
"116","0.456589","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=30 Win=911 Len=0"
"117","0.456837","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=30 Ack=1 Win=255 Len=1"
"118","0.456881","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=31 Win=909 Len=0"
"119","0.457207","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=30 Ack=1 Win=255 Len=1"
"120","0.457259","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=31 Win=911 Len=0"
"121","0.457438","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=31 Ack=1 Win=255 Len=1"
"122","0.457481","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=32 Win=909 Len=0"
"123","0.457860","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=31 Ack=1 Win=255 Len=1"
"124","0.457964","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=32 Win=911 Len=0"
"125","0.458210","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=32 Ack=1 Win=255 Len=1"
"126","0.458255","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=33 Win=909 Len=0"
"127","0.458795","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=32 Ack=1 Win=255 Len=1"
"128","0.458896","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=33 Win=911 Len=0"
"129","0.459075","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=33 Ack=1 Win=255 Len=1"
"130","0.459100","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=34 Win=909 Len=0"
"131","0.459352","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=33 Ack=1 Win=255 Len=1"
"132","0.459405","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=34 Win=911 Len=0"
"133","0.459561","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=34 Ack=1 Win=255 Len=1"
"134","0.459602","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=35 Win=909 Len=0"
"135","0.460004","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=34 Ack=1 Win=255 Len=1"
"136","0.460084","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=35 Win=911 Len=0"
"137","0.460262","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=35 Ack=1 Win=255 Len=1"
"138","0.460286","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=36 Win=909 Len=0"
"139","0.460829","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=35 Ack=1 Win=255 Len=1"
"140","0.460936","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=36 Win=911 Len=0"
"141","0.461178","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=36 Ack=1 Win=255 Len=1"
"142","0.461225","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=37 Win=909 Len=0"
"143","0.461575","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=36 Ack=1 Win=255 Len=1"
"144","0.461653","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=37 Win=911 Len=0"
"145","0.461878","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=37 Ack=1 Win=255 Len=1"
"146","0.461904","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=38 Win=909 Len=0"
"147","0.462227","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=37 Ack=1 Win=255 Len=1"
"148","0.462321","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=38 Win=911 Len=0"
"149","0.462501","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=38 Ack=1 Win=255 Len=1"
"150","0.462544","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=39 Win=909 Len=0"
"151","0.462852","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=38 Ack=1 Win=255 Len=1"
"152","0.462949","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=39 Win=911 Len=0"
"153","0.463277","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=39 Ack=1 Win=255 Len=1"
"154","0.463323","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=40 Win=909 Len=0"
"155","0.463673","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=39 Ack=1 Win=255 Len=1"
"156","0.463757","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=40 Win=911 Len=0"
"157","0.463884","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=40 Ack=1 Win=255 Len=1"
"158","0.463907","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=41 Win=909 Len=0"
"159","0.464183","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=40 Ack=1 Win=255 Len=1"
"160","0.464236","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=41 Win=911 Len=0"
"161","0.464410","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=41 Ack=1 Win=255 Len=1"
"162","0.464441","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=42 Win=909 Len=0"
"163","0.464757","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=41 Ack=1 Win=255 Len=1"
"164","0.464922","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=42 Win=911 Len=0"
"165","0.468711","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=42 Ack=1 Win=255 Len=1"
"166","0.468785","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=43 Win=909 Len=0"
"167","0.468970","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=42 Ack=1 Win=255 Len=1"
"168","0.469070","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=43 Win=911 Len=0"
"169","0.601602","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=43 Ack=1 Win=255 Len=1"
"170","0.601636","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=44 Win=909 Len=0"
"171","0.627800","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=44 Ack=1 Win=255 Len=1"
"172","0.627841","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=45 Win=909 Len=0"
"173","0.628072","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=43 Ack=1 Win=255 Len=1"
"174","0.628130","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=44 Win=911 Len=0"
"175","0.628803","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=45 Ack=1 Win=255 Len=1"
"176","0.628861","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=46 Win=909 Len=0"
"177","0.652862","127.0.0.1","127.0.0.1","TCP","46","49739  >  49738 [PSH, ACK] Seq=44 Ack=1 Win=255 Len=2"
"178","0.652951","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=46 Win=911 Len=0"
"179","0.653321","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=46 Ack=1 Win=255 Len=1"
"180","0.653389","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=47 Win=909 Len=0"
"181","0.654402","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=46 Ack=1 Win=255 Len=1"
"182","0.654539","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=47 Win=911 Len=0"
"183","0.655222","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=47 Ack=1 Win=255 Len=1"
"184","0.655309","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=48 Win=909 Len=0"
"185","0.655821","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=47 Ack=1 Win=255 Len=1"
"186","0.655891","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=48 Win=911 Len=0"
"187","0.656290","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=48 Ack=1 Win=255 Len=1"
"188","0.656364","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=49 Win=909 Len=0"
"189","0.657155","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=48 Ack=1 Win=255 Len=1"
"190","0.657230","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=49 Win=911 Len=0"
"191","0.657431","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=49 Ack=1 Win=255 Len=1"
"192","0.657470","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=50 Win=909 Len=0"
"193","0.657850","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=49 Ack=1 Win=255 Len=1"
"194","0.657912","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=50 Win=911 Len=0"
"195","0.658630","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=50 Ack=1 Win=255 Len=1"
"196","0.658682","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=51 Win=909 Len=0"
"197","0.659048","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=50 Ack=1 Win=255 Len=1"
"198","0.659106","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=51 Win=911 Len=0"
"199","0.659269","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=51 Ack=1 Win=255 Len=1"
"200","0.659292","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=52 Win=909 Len=0"
"201","0.659687","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=51 Ack=1 Win=255 Len=1"
"202","0.659743","127.0.0.1","127.0.0.1","TCP","44","49738  >  49739 [ACK] Seq=1 Ack=52 Win=911 Len=0"
"203","0.659922","127.0.0.1","127.0.0.1","TCP","45","49734  >  49735 [PSH, ACK] Seq=52 Ack=1 Win=255 Len=1"
"204","0.659967","127.0.0.1","127.0.0.1","TCP","44","49735  >  49734 [ACK] Seq=1 Ack=53 Win=909 Len=0"
"205","0.660230","127.0.0.1","127.0.0.1","TCP","45","49739  >  49738 [PSH, ACK] Seq=52 Ack=1 Win=255 Len=1"
